name,area,population,density,householdincome,rent,maleage,femaleage,PopulationRank,IncomeRank
Reisterstown Station ,0.438,2458,5617,44123,951,41.8,45.8,Sparse,Normal
Remington ,0.247,1826,7399,47332,964,39.8,37.3,Normal,Normal
Reservoir Hill ,0.303,6474,21340,41334,742,39.8,41.4,Dense,Normal
Richnor Springs ,0.032,896,27689,41520,753,41.9,46.5,Dense,Normal
Ridgely's Delight ,0.049,360,7393,49417,1664,30.9,27.2,Normal,Normal
Riverside ,0.338,5761,17059,114075,1821,34.6,32.3,Dense,Normal
Rognel Heights ,0.163,1193,7304,51543,992,37.5,45.3,Normal,Normal
Roland Park ,0.941,4972,5284,110831,1070,43.5,42.1,Sparse,Normal
Rosebank ,0.065,542,8367,79804,806,37.8,40.5,Normal,Normal
Rosemont ,0.235,2594,11052,37812,930,41.7,46.0,Normal,Lower
