2-0382 ,,Felony
1-0785 ,,Felony
2-0374 ,,Felony
2-0377 ,,Felony
2-0378 ,,Felony
1-1501 ,,Misd.
2-0372 ,,Misd.
Code,Source,or
2-0376 ,,Misd.
1-1532 ,,Felony
1-0783 ,,Felony
1-0784 ,,Felony
2-0385 ,,Misd.
"1-1551 EL, §13-401EL, §13-602(penalty)",,Misd.
2-2700 ,,Misd.
1-1207 ,,Felony
1-1206 ,,Felony
1-1204 ,,Felony
1-1209 ,,Misd.
1-1217 ,,Felony
Code,Source,or
1-1216 ,,Felony
1-1215 ,,Felony
1-1214 ,,Misd.
1-1705 ,,Felony
1-1702 ,,Felony
1-0477 ,,Misd.
1-1700 ,,Misd.
4-2100 ,,Felony
5-2607 ,,Misd.
"1-5300 CR, §9-504(b)",,Felony
Code,Source,or
2-5215 ,,Felony
1-0828 ,,Misd.
1-0751 ,,Misd.
1-0651 ,,Misd.
2-5099 ,,Misd.
1-5099 ,,Misd.
1-0207 ,,Misd.
1-1390 ,,Felony
,,
,,
,,
1-1389 ,,Felony
,,
,,
,,
,,
,,
,,
,,
Code,Source,or
1-1388 ,,Felony
1-1387 ,,Misd.
,,
,,
,,
,,
,,
"1-1775 BO, §10-306,BO, §10-606 (b)",,Misd.
1-0180 ,,Misd.
6-2610 ,,Misd.
2-0290 ,,Misd.
2-0294,,
1-1668 ,,Felony
1-0888 ,,Misd.
,,
,,
1-0891 ,,Felony
,,
,,
Code,Source,or
1-1151 ,,Misd.
1-0604 ,,Misd.
1-0284 ,,Misd.
1-0284 ,,Misd.
,,
,,
,,
,,
,,
1-1597 ,,Misd.
2-0256 ,,Misd.
1-7510 ,,Misd.
,,
,,
,,
1-0796 ,,Felony
,,
,,
,,
,,
,,
,,
,,
"1-0590 CR, §7-315",,Misd.
,,
,,
Code,Source,or
1-0591 ,,Felony
2-3921 ,,Misd.
1-0433 ,,Misd.
1-3901 ,,Misd.
1-3908 ,,Misd.
2-3908 ,,Misd.
3-2600 ,,Misd.
,,
,,
,,
,,
1-3903 ,,Misd.
6-2620 ,,Misd.
3-3908 ,,Misd.
1-5212 ,,Misd.
1-5212 ,,Misd.
1-5212 ,,Misd.
1-5212 ,,Misd.
1-5212 ,,Misd.
,,
Code,Source,or
1-5212 ,,Misd.
1-5212 ,,Misd.
6-5210 ,,Misd.
2-2020 ,,Misd.
2-1035 ,,Felony
,,
2-1060 ,,Felony
,,
1-0615 ,,Felony
1-0766 ,,Misd.
1-0600 ,,Misd.
1-1835 ,,Misd.
,,
,,
1-0724 ,,Misd.
,,
,,
Code,Source,or
1-0718 ,,Misd.
1-1327 ,,Misd.
,,
1-4904 ,,Misd.
1-0232 ,,Misd.
2-4904 ,,Misd.
"CS, §3-409",,Misd.
1-0437 ,,Felony
1-0437 ,,Felony
1-0435 ,,Misd.
1-1359 ,,Felony
1-1360 ,,Felony
1-1361 ,,Felony
1-1362 ,,Misd.
1-1374 ,,Felony
1-1376 ,,Felony
1-1377 ,,Felony
1-1378 ,,Misd.
1-1364 ,,Misd.
1-1363 ,,Misd.
1-1383 ,,Misd.
1-0432 ,,Misd.
1-1474 ,,Misd.
1-1475 ,,Misd.
1-0355 ,,Felony
1-0354 ,,Misd.
1-0358 ,,Misd.
2-5006 ,,Misd.
1-0356 ,,Misd.
1-0357 ,,Felony
1-0359 ,,Felony
1-1332 ,,Misd.
1-0157 Common law2-0645,,Misd.
1-0208 ,,Misd.
1-0043 Common law,,Misd.
1-0165 ,,Misd.
4-1005 ,,Felony
3-1005 ,,Felony
"3-5730 CS, §8-801(b)",,Felony
1-1005 ,,Felony
1-0042 Common law,,Misd.
1-0364 ,,Misd.
1-0736 ,,Felony
1-0746 ,,Felony
1-0906 ,,Felony
1-0286 ,,Misd.
1-0286 ,,Misd.
4-3921 ,,Misd.
1-0114 ,,Misd.
2-5299 ,,Felony
1-1314 ,,Misd.
1-0910 ,,Felony
1-0911 ,,Felony
1-0909 ,,Felony
1-1611 ,,Misd.
1-0900 ,,Felony
1-0693 ,,Felony
1-0755 ,,Felony
1-1436 ,,Felony
1-3804 ,,Misd.
"TR, §21-902(b)(1)(ii)(3)",,Misd.
"TR, §21-902(c)(1)(ii)(1)",,Misd.
"TR, §21-902(c)(2)(ii)(2)",,Misd.
"TR, §21-902(d)(1)(ii)(3)TR, §27-902(f)(3)(ii)",,Misd.
"TR, §21-902(a)(1)(iii)(1)",,Misd.
"TR, §21-",,Misd.
"TR, §21-904(d)(1), (f)(2)",,Misd.
"TR, §20-102(c)(2)(i)",,Misd.
"TR, §21-1126",,Misd.
"TR, §16-101(c)(1)",,Misd.
"TR, §16-808(d)(1)",,Misd.
"TR, §16-813.1",,Misd.
1-1298 ,,Misd.
"TR, §22-419",,Misd.
"TR, §15-402(c)(2)",,Misd.
1-0990 ,,Felony
1-0990 ,,Felony
1-0990 ,,Felony
1-0990 ,,Felony
2-0910 ,,Felony
1C0990 Common law,,Misd.
1S0990 Common law,,Misd.
1-1107 ,,Felony
2-0920 ,,Felony
1-3605 ,,Misd.
"2-1133 CS, § 8-803",,Misd.
1-0298 ,,Felony
1-0298 ,,Felony
1-3705 ,,Misd.
1-3799 ,,Misd.
3-3799 ,,Misd.
1-3705 ,,Misd.
1-3799 ,,Misd.
1-1756 ,,Misd.
"1-5004 CR, §9-102(a)",,Misd.
2-1180 ,,Misd.
1-0307 ,,Misd.
2-5003 ,,Misd.
1-0272 ,,Misd.
1-5599 ,,Misd.
1-0018 ,,Misd.
1-0010 ,,Misd.
1-1336 ,,Felony
1-0752 ,,Misd.
1-0754 ,,Felony
1-1090 ,,Misd.
1-1093 ,,Misd.
2-2125,"CR, §8-509",Felony
2-2120,"CR, §8-509",Felony
2-2607 ,,Misd.
1-0715 ,,Felony
2-1167 ,,Felony
2-2110,"CR, §8-509",Misd.
2-2115,"CR, §8-509",Felony
2-1166 ,,Felony
2-1168 ,,Felony
7-2607 ,,Misd.
6-2607 ,,Misd.
1-0419 ,,Misd.
1-1505 ,,Misd.
2-0015 ,,Felony
1-0012 ,,Felony
1-0645 ,,Misd.
1-0516 ,,Misd.
1-5516 ,,Misd.
1-0895 ,,Misd.
1-0643 ,,Misd.
1-0554 ,,Misd.
3-5740 ,,Felony
3-5312 ,,Misd.
1-0826 ,,Felony
1-0825 ,,Felony
2-0700 ,,Felony
2-0705 ,,Felony
2-0705 ,,Felony
1-5574 ,,Misd.
1-1102 ,,Felony
1-1102 ,,Felony
1-1102 ,,Felony
1-1102 ,,Felony
2-1102 ,,Felony
2-1102 ,,Felony
2-1102 ,,Felony
2-1102 ,,Felony
2-1120 ,,Felony
2-1125 ,,Felony
2-1103 ,,Felony
2-1103 ,,Felony
2-3600 ,,Felony
2-3600 ,,Felony
2-1110 ,,Felony
2-1115 ,,Felony
1-3604 ,,Felony
3-3600 ,,Felony
3-3600 ,,Felony
1-1149 ,,Misd.
5-3600 ,,Felony
1-1604 ,,Felony
1-1340 ,,Felony
1-1477 ,,Misd.
1-1478 ,,Misd.
1-0713 ,,Misd.
1-0713 ,,Felony
6-3600 ,,Misd.
1-1623 ,,Misd.
2-1136 ,,Felony
1-1623 ,,Misd.
2-0715 ,,Misd.
1-6525 ,,Misd.
1-0191 ,,Misd.
1-0191 ,,Misd.
1-1001 ,,Misd.
1-1326 ,,Misd.
"3-5715 CR, §3-9021-1759 CR, §3-903",,Misd.
1-5580 ,,Felony
1-5595 ,,Felony
1-5579 ,,Felony
2-0647 ,,Felony
1-0336 ,,Misd.
1-2804 ,,Misd.
1-0470 ,,Misd.
1-0495 ,,Felony
1-0638 ,,Misd.
1-0639 ,,Felony
2-1135 ,,Misd.
1-0653 ,,Misd.
1-0330 ,,Misd.
1-0330 ,,Misd.
1-0340 ,,Misd.
1-0215 ,,Misd.
1-0593 ,,Misd.
1-1472 ,,Misd.
1-1134 ,,Felony
1-1135 ,,Felony
1-1136 ,,Felony
1-1137 ,,Misd.
1-0521 ,,Misd.
2-0480 ,,Felony
1-0460 ,,Misd.
1-1335 ,,Misd.
2-2210 ,,Misd.
"2-2411 CR, §7-203",,Misd.
1-0220 ,,Misd.
1-0493 ,,Felony
1-0493 ,,Felony
1-0493 ,,Felony
1-0493 ,,Felony
1-5299 ,,Misd.
1-5299 ,,Misd.
1-1284 ,,Misd.
1-5203 ,,Misd.
1-5202 ,,Misd.
1-5200 ,,Misd.
1-5202 ,,Misd.
"1-0596 CR, §4-109(e)(2)",,Felony
3-5299 ,,Misd.
2-5212 ,,Misd.
1-0439 ,,Misd.
1-1610 ,,Felony
1-0692 ,,Felony
1-1106 ,,Misd.
1-1609 ,,Felony
1-5285 ,,Misd.
1-1285 ,,Misd.
1-1105 ,,Misd.
1-5270 ,,Misd.
1-5230 ,,Misd.
1-5240 ,,Misd.
1-5250 ,,Misd.
1-2801 ,,Misd.
1-5295 ,,Misd.
1-5220 ,,Misd.
1-5290 ,,Misd.
1-1104 ,,Misd.
2-5210 ,,Misd.
1-0642 ,,Misd.
1-5210 ,,Misd.
"1-5214 CR, §4-105(a)",,Misd.
1-1460 ,,Felony
1-1450 ,,Misd.
1-1449 ,,Misd.
1-1612 ,,Misd.
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
